,date,open,close,high,low,volume,code
45,2013-03-15,2.533,2.529,2.604,2.5,5027987.0,510300
46,2013-03-18,2.522,2.502,2.544,2.5,4252109.0,510300
47,2013-03-19,2.506,2.524,2.532,2.49,4337150.0,510300
48,2013-03-20,2.525,2.601,2.603,2.525,5888569.0,510300
49,2013-03-21,2.607,2.608,2.622,2.596,3606871.0,510300
50,2013-03-22,2.609,2.615,2.624,2.598,3630827.0,510300
51,2013-03-25,2.625,2.611,2.638,2.6,3428520.0,510300
52,2013-03-26,2.598,2.568,2.603,2.545,5746422.0,510300
53,2013-03-27,2.57,2.574,2.609,2.559,4445452.0,510300
54,2013-03-28,2.537,2.494,2.537,2.49,4066694.0,510300
55,2013-03-29,2.502,2.487,2.507,2.48,3232432.0,510300
56,2013-04-01,2.478,2.483,2.505,2.477,3309090.0,510300
57,2013-04-02,2.489,2.487,2.523,2.47,3725639.0,510300
58,2013-04-03,2.495,2.482,2.509,2.472,3168155.0,510300
59,2013-04-08,2.45,2.47,2.474,2.433,3319435.0,510300
60,2013-04-09,2.477,2.485,2.509,2.477,4870228.0,510300
61,2013-04-10,2.485,2.485,2.491,2.469,2322471.0,510300
62,2013-04-11,2.508,2.474,2.512,2.473,2170251.0,510300
63,2013-04-12,2.476,2.466,2.485,2.463,2090345.0,510300
64,2013-04-15,2.46,2.441,2.465,2.433,2735599.0,510300
65,2013-04-16,2.429,2.456,2.46,2.421,4082437.0,510300
66,2013-04-17,2.455,2.462,2.464,2.439,4156771.0,510300
67,2013-04-18,2.439,2.467,2.486,2.438,4113051.0,510300
68,2013-04-19,2.471,2.537,2.548,2.47,5905394.0,510300
69,2013-04-22,2.535,2.529,2.542,2.52,2310740.0,510300
70,2013-04-23,2.529,2.452,2.529,2.447,3106698.0,510300
71,2013-04-24,2.453,2.494,2.514,2.447,3133921.0,510300
72,2013-04-25,2.483,2.468,2.509,2.455,2978324.0,510300
73,2013-04-26,2.479,2.445,2.488,2.434,1865287.0,510300
74,2013-05-02,2.427,2.447,2.45,2.418,2140702.0,510300
75,2013-05-03,2.458,2.491,2.524,2.453,3344747.0,510300
76,2013-05-06,2.5,2.52,2.533,2.499,2359820.0,510300
77,2013-05-07,2.518,2.526,2.538,2.503,2855262.0,510300
78,2013-05-08,2.543,2.542,2.567,2.531,2997252.0,510300
79,2013-05-09,2.538,2.529,2.544,2.508,1895550.0,510300
80,2013-05-10,2.518,2.539,2.547,2.517,2832553.0,510300
81,2013-05-13,2.541,2.529,2.549,2.513,1987403.0,510300
82,2013-05-14,2.524,2.492,2.528,2.473,2646563.0,510300
83,2013-05-15,2.493,2.504,2.505,2.49,1927893.0,510300
84,2013-05-16,2.499,2.555,2.556,2.487,4129314.0,510300
85,2013-05-17,2.555,2.599,2.603,2.547,4774811.0,510300
86,2013-05-20,2.606,2.614,2.632,2.596,2825607.0,510300
87,2013-05-21,2.615,2.614,2.619,2.599,2034481.0,510300
88,2013-05-22,2.617,2.617,2.63,2.607,1936315.0,510300
89,2013-05-23,2.601,2.589,2.628,2.579,2900756.0,510300
90,2013-05-24,2.6,2.603,2.618,2.571,4073632.0,510300
91,2013-05-27,2.597,2.597,2.612,2.587,2916019.0,510300
92,2013-05-28,2.598,2.651,2.652,2.586,3491582.0,510300
93,2013-05-29,2.657,2.642,2.667,2.641,3895438.0,510300
94,2013-05-30,2.642,2.635,2.647,2.623,5674699.0,510300
95,2013-05-31,2.636,2.605,2.645,2.6,5440863.0,510300
96,2013-06-03,2.609,2.61,2.632,2.602,3199071.0,510300
97,2013-06-04,2.607,2.572,2.608,2.564,4436294.0,510300
98,2013-06-05,2.571,2.565,2.577,2.556,2254500.0,510300
99,2013-06-06,2.557,2.54,2.568,2.538,2638058.0,510300
100,2013-06-07,2.541,2.494,2.548,2.482,3947621.0,510300
101,2013-06-13,2.457,2.417,2.457,2.391,6174687.0,510300
102,2013-06-14,2.424,2.434,2.441,2.411,3912454.0,510300
103,2013-06-17,2.443,2.419,2.447,2.415,3077433.0,510300
104,2013-06-18,2.425,2.435,2.442,2.408,3738954.0,510300
105,2013-06-19,2.425,2.421,2.425,2.384,2864449.0,510300
106,2013-06-20,2.405,2.345,2.407,2.34,3712644.0,510300
107,2013-06-21,2.306,2.334,2.348,2.294,3579532.0,510300
